time,acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,pos_x,pos_y,pos_z
0.0,0.020,0.138,0.353,0.000,0.000,0.000,0.000,0.000,0.000
0.0,-0.011,0.020,-0.024,0.000,0.000,0.000,0.000,0.000,0.000
0.1,-0.003,0.001,0.011,0.000,0.000,0.000,0.000,0.000,0.000
0.1,-0.008,-0.009,0.012,0.000,0.000,0.000,0.000,0.000,0.000
0.1,-0.008,0.010,0.009,0.000,0.000,0.000,0.000,0.000,0.000
0.1,-0.005,0.011,0.013,0.000,0.000,0.000,0.000,0.000,0.000
0.1,-0.016,0.010,-0.012,0.000,0.000,0.000,0.000,0.000,0.000
0.2,0.004,0.001,0.019,0.000,0.000,0.000,0.000,0.000,0.000
0.2,-0.005,0.030,-0.010,0.000,0.000,0.000,0.000,0.000,0.000
0.2,0.004,0.040,0.027,0.000,0.000,0.000,0.000,0.000,0.000
0.2,0.003,0.010,0.006,0.000,0.000,0.000,0.000,0.000,0.000
0.2,-0.006,0.020,-0.003,0.000,0.000,0.000,0.000,0.000,0.000
0.3,-0.007,0.020,0.005,0.000,0.000,0.000,0.000,0.000,0.000
0.3,-0.017,-0.009,0.014,0.000,0.000,0.000,0.000,0.000,0.000
0.3,-0.004,0.030,-0.006,0.000,0.000,0.000,0.000,0.000,0.000
0.3,-0.004,0.001,-0.024,0.000,0.000,0.000,0.000,0.000,0.000
0.3,-0.004,0.010,0.005,0.000,0.000,0.000,0.000,0.000,0.000
0.4,-0.003,0.030,0.005,0.000,0.000,0.000,0.000,0.000,0.000
0.4,0.006,-0.029,0.005,0.000,0.000,0.000,0.000,0.000,0.000
0.4,-0.014,-0.019,-0.015,0.000,0.000,0.000,0.000,0.000,0.000
0.4,0.005,0.010,-0.014,0.000,0.000,0.000,0.000,0.000,0.000
0.4,-0.004,0.010,-0.004,0.000,0.000,0.000,0.000,0.000,0.000
0.5,-0.013,0.001,-0.013,0.000,0.000,0.000,0.000,0.000,0.000
0.5,-0.003,0.020,-0.003,0.000,0.000,0.000,0.000,0.000,0.000
0.5,0.006,0.030,-0.012,0.000,0.000,0.000,0.000,0.000,0.000
0.5,-0.013,-0.000,-0.032,0.000,0.000,0.000,0.000,0.000,0.000
0.5,-0.004,-0.000,-0.012,0.000,0.000,0.000,0.000,0.000,0.000
0.6,-0.004,-0.020,-0.020,0.000,0.000,0.000,0.000,0.000,0.000
0.6,-0.004,-0.000,-0.010,0.000,0.000,0.000,0.000,0.000,0.000
0.6,-0.014,-0.000,-0.038,0.000,0.000,0.000,0.000,0.000,0.000
0.6,0.005,0.010,-0.008,0.000,0.000,0.000,0.000,0.000,0.000
