time,acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,pos_x,pos_y,pos_z,rad_vel_x,rad_vel_y,rad_vel_z,rad_gyro_x,rad_gyro_y,rad_gyro_z,rad_mag_x,rad_mag_y,rad_mag_z
0.064,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.000,0.000,-0.000,-0.000
0.239,-0.011,0.030,0.098,0.000,0.000,0.000,0.000,0.000,0.000,-0.012,-0.006,0.093,0.330,-0.007,-0.003,0.330,-0.007,-0.003
0.299,-0.025,0.028,0.167,0.000,0.000,0.000,0.000,0.000,0.000,-0.012,-0.006,0.093,0.299,-0.007,-0.003,0.299,-0.007,-0.003
0.345,-0.006,0.026,0.128,0.000,0.000,0.000,0.000,0.000,0.000,-0.012,-0.006,0.093,0.283,-0.007,-0.003,0.283,-0.007,-0.003
0.390,-0.018,0.022,0.128,0.000,0.000,0.000,0.000,0.000,0.000,-0.012,-0.006,0.093,0.291,-0.006,-0.003,0.291,-0.006,-0.003
0.432,-0.020,0.014,0.137,0.000,0.000,0.000,0.000,0.000,0.000,-0.012,-0.006,0.093,0.263,-0.006,-0.003,0.263,-0.006,-0.003
0.468,-0.007,0.033,0.098,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.011,0.256,-0.006,-0.003,0.256,-0.006,-0.003
0.503,0.006,0.037,0.108,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.002,0.253,-0.006,-0.003,0.253,-0.006,-0.003
0.539,-0.005,0.028,0.128,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.001,0.263,-0.006,-0.003,0.263,-0.006,-0.003
0.577,-0.005,0.026,0.138,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.001,0.257,-0.006,-0.003,0.257,-0.006,-0.003
0.614,-0.014,0.026,0.128,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.001,0.001,0.257,-0.007,-0.003,0.257,-0.007,-0.003
0.650,-0.006,0.014,0.128,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.013,0.250,-0.007,-0.003,0.250,-0.007,-0.003
0.682,-0.022,0.026,0.128,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.005,0.231,-0.007,-0.003,0.231,-0.007,-0.003
0.716,0.006,0.018,0.118,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.012,0.221,-0.007,-0.003,0.221,-0.007,-0.003
0.747,-0.004,0.020,0.118,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.020,0.259,-0.007,-0.003,0.259,-0.007,-0.003
0.781,-0.003,0.018,0.118,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.015,0.294,-0.007,-0.003,0.294,-0.007,-0.003
0.813,-0.003,0.017,0.138,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.010,0.303,-0.007,-0.003,0.303,-0.007,-0.003
0.844,-0.005,0.007,0.128,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.012,0.303,-0.007,-0.003,0.303,-0.007,-0.003
0.871,-0.003,0.017,0.128,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.010,0.282,-0.007,-0.003,0.282,-0.007,-0.003
0.898,-0.003,0.016,0.108,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.006,0.279,-0.007,-0.003,0.279,-0.007,-0.003
0.927,-0.003,0.015,0.118,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.017,0.273,-0.008,-0.003,0.273,-0.008,-0.003
0.955,0.006,0.011,0.108,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.020,0.274,-0.008,-0.003,0.274,-0.008,-0.003
0.981,-0.011,0.026,0.118,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.024,0.285,-0.008,-0.003,0.285,-0.008,-0.003
1.007,-0.004,0.013,0.108,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.020,0.247,-0.008,-0.003,0.247,-0.008,-0.003
1.033,-0.002,0.023,0.098,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.020,0.247,-0.008,-0.003,0.256,-0.008,-0.003
1.059,-0.004,0.011,0.108,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.021,0.247,-0.008,-0.003,0.256,-0.008,-0.003
1.085,-0.004,0.010,0.108,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.026,0.247,-0.008,-0.003,0.236,-0.008,-0.003
1.111,-0.004,0.011,0.098,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.022,0.247,-0.008,-0.003,0.304,-0.008,-0.003
1.136,0.009,0.017,0.089,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.021,0.247,-0.008,-0.003,0.305,-0.008,-0.003
1.163,-0.000,0.018,0.089,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.013,0.247,-0.008,-0.003,0.296,-0.008,-0.003
1.191,0.012,0.025,0.089,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.001,0.247,-0.008,-0.003,0.265,-0.008,-0.003
1.217,0.006,0.005,0.089,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.006,0.247,-0.008,-0.003,0.280,-0.008,-0.002
1.247,-0.012,0.009,0.079,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.018,0.247,-0.008,-0.003,0.278,-0.008,-0.002
1.279,-0.011,0.008,0.089,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.010,0.247,-0.008,-0.003,0.266,-0.008,-0.002
1.307,-0.002,0.006,0.069,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.024,0.247,-0.008,-0.003,0.248,-0.008,-0.002
1.337,-0.002,0.006,0.079,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.016,0.247,-0.008,-0.003,0.235,-0.008,-0.002
1.367,-0.001,0.005,0.079,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.017,0.247,-0.008,-0.003,0.286,-0.008,-0.002
1.399,-0.002,0.005,0.069,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.013,0.247,-0.008,-0.003,0.289,-0.008,-0.002
1.429,-0.011,0.008,0.079,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.012,0.247,-0.008,-0.003,0.308,-0.008,-0.002
1.458,-0.009,0.017,0.059,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.010,0.247,-0.008,-0.003,0.289,-0.009,-0.002
1.486,-0.013,-0.002,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.004,0.247,-0.008,-0.003,0.299,-0.009,-0.002
1.515,-0.010,0.007,-0.029,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.005,0.247,-0.008,-0.003,0.293,-0.009,-0.002
1.544,-0.001,0.005,-0.059,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.005,0.247,-0.008,-0.003,0.279,-0.009,-0.002
1.573,-0.012,-0.002,-0.010,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.007,0.247,-0.008,-0.003,0.255,-0.008,-0.002
1.602,-0.011,-0.001,-0.039,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.018,0.247,-0.008,-0.003,0.250,-0.008,-0.002
1.632,-0.002,-0.004,-0.039,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.018,0.247,-0.008,-0.003,0.244,-0.008,-0.002
1.661,-0.002,-0.003,-0.059,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.011,0.247,-0.008,-0.003,0.259,-0.008,-0.002
1.689,-0.008,0.009,-0.049,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.005,0.247,-0.008,-0.003,0.270,-0.008,-0.002
1.717,-0.008,0.008,-0.049,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.012,0.247,-0.008,-0.003,0.277,-0.008,-0.002
1.745,-0.008,0.008,-0.059,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.007,0.247,-0.008,-0.003,0.285,-0.008,-0.002
1.772,-0.019,0.002,-0.059,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.006,0.247,-0.008,-0.003,0.260,-0.008,-0.002
1.801,0.006,-0.014,-0.059,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.004,0.247,-0.008,-0.003,0.270,-0.008,-0.002
1.831,-0.001,-0.002,-0.059,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.002,0.247,-0.008,-0.003,0.287,-0.008,-0.002
