time,acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,pos_x,pos_y,pos_z,rad_vel_x,rad_vel_y,rad_vel_z,rad_gyro_x,rad_gyro_y,rad_gyro_z,rad_mag_x,rad_mag_y,rad_mag_z
0.067,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,0.000
0.251,-2.081,0.450,-0.266,0.000,0.000,0.000,0.000,0.000,0.000,1.008,0.270,-0.261,1.363,-0.466,-0.017,-0.466,-0.017,1.363
0.309,-2.093,-0.754,-0.020,0.000,0.000,0.000,0.000,0.000,0.000,1.008,0.270,-0.261,1.332,-0.501,0.009,-0.501,0.009,1.332
0.354,-2.372,-0.832,0.074,0.000,0.000,0.000,0.000,0.000,0.000,0.123,-0.067,-0.021,1.311,-0.538,0.022,-0.538,0.022,1.311
0.401,-1.856,-0.250,-0.563,0.000,0.000,0.000,0.000,0.000,0.000,0.147,-0.028,-0.045,1.315,-0.531,0.018,-0.531,0.018,1.315
0.441,-1.845,-0.379,-0.362,0.000,0.000,0.000,0.000,0.000,0.000,-0.016,0.134,-0.056,1.348,-0.528,0.023,-0.528,0.023,1.348
0.477,-2.435,-0.596,0.508,0.000,0.000,0.000,0.000,0.000,0.000,-0.345,0.356,-0.070,1.370,-0.506,0.036,-0.506,0.036,1.370
0.513,-2.193,-0.363,1.120,0.000,0.000,0.000,0.000,0.000,0.000,0.068,-0.050,-0.274,1.369,-0.490,0.041,-0.490,0.041,1.369
0.550,-1.646,0.041,0.280,0.000,0.000,0.000,0.000,0.000,0.000,0.563,-0.569,-0.286,1.372,-0.484,0.044,-0.484,0.044,1.372
0.586,-1.355,-0.254,-0.454,0.000,0.000,0.000,0.000,0.000,0.000,0.137,-0.321,0.109,1.376,-0.497,0.025,-0.497,0.025,1.376
0.622,-1.880,-0.731,0.619,0.000,0.000,0.000,0.000,0.000,0.000,-0.045,-0.053,0.140,1.399,-0.489,0.012,-0.489,0.012,1.399
0.658,-1.648,-0.363,0.441,0.000,0.000,0.000,0.000,0.000,0.000,0.040,0.034,0.054,1.404,-0.482,0.011,-0.482,0.011,1.404
0.690,-1.566,-0.305,0.286,0.000,0.000,0.000,0.000,0.000,0.000,0.195,0.022,0.056,1.404,-0.490,0.009,-0.490,0.009,1.404
0.723,-1.528,-0.273,0.084,0.000,0.000,0.000,0.000,0.000,0.000,0.165,0.026,0.097,1.414,-0.492,0.008,-0.492,0.008,1.414
0.754,-1.582,-0.163,0.205,0.000,0.000,0.000,0.000,0.000,0.000,0.131,0.059,0.109,1.410,-0.492,0.008,-0.492,0.008,1.410
0.786,-1.351,-0.291,0.117,0.000,0.000,0.000,0.000,0.000,0.000,0.166,0.007,0.151,1.423,-0.483,0.008,-0.483,0.008,1.423
0.817,-1.215,-0.224,-0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.189,-0.043,0.130,1.428,-0.486,0.003,-0.486,0.003,1.428
0.850,-1.305,-0.215,-0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.072,-0.017,0.081,1.412,-0.494,0.000,-0.494,0.000,1.412
0.878,-1.282,-0.183,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.053,0.007,0.082,1.410,-0.490,-0.002,-0.490,-0.002,1.410
0.909,-1.225,-0.198,0.069,0.000,0.000,0.000,0.000,0.000,0.000,0.032,-0.033,0.061,1.426,-0.481,-0.002,-0.481,-0.002,1.426
0.938,-1.025,-0.077,-0.101,0.000,0.000,0.000,0.000,0.000,0.000,0.044,-0.042,0.059,1.426,-0.479,-0.004,-0.479,-0.004,1.426
0.965,-1.083,-0.121,-0.045,0.000,0.000,0.000,0.000,0.000,0.000,-0.005,-0.072,0.055,1.404,-0.484,-0.007,-0.484,-0.007,1.404
0.993,-1.127,0.043,0.049,0.000,0.000,0.000,0.000,0.000,0.000,-0.048,-0.035,0.055,1.405,-0.477,-0.010,-0.477,-0.010,1.405
1.020,-1.164,-0.157,0.300,0.000,0.000,0.000,0.000,0.000,0.000,-0.084,-0.007,0.059,1.398,-0.466,-0.009,-0.466,-0.009,1.398
