time,acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,pos_x,pos_y,pos_z,rad_vel_x,rad_vel_y,rad_vel_z,rad_gyro_x,rad_gyro_y,rad_gyro_z,rad_mag_x,rad_mag_y,rad_mag_z
0.072,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000
0.260,-0.001,-0.006,0.127,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,-0.002,0.000,-0.000,-0.006,0.000,-0.000,-0.006
0.332,-0.001,-0.016,0.118,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,-0.002,0.000,-0.000,-0.015,0.000,-0.000,-0.015
0.397,-0.001,0.004,0.118,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,-0.002,0.000,-0.000,-0.003,0.000,-0.000,-0.003
0.442,-0.001,-0.006,0.108,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,-0.002,0.000,-0.000,-0.006,0.000,-0.000,-0.006
0.494,-0.010,-0.005,0.108,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.000,0.000,-0.028,0.000,0.000,-0.028
0.537,0.000,-0.005,0.118,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.000,0.000,-0.031,0.000,0.000,-0.031
0.579,0.000,-0.004,0.098,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.001,0.000,-0.016,0.001,0.000,-0.016
0.619,0.000,0.005,0.098,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.000,0.000,-0.006,0.000,0.000,-0.006
0.656,0.000,0.004,0.108,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.000,0.000,-0.000,0.000,0.000,-0.000
0.694,0.000,0.004,0.078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.000,0.000,-0.033,0.000,0.000,-0.033
0.731,0.000,0.004,0.088,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.000,0.000,-0.019,0.000,0.000,-0.019
0.764,-0.000,-0.006,0.078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.000,0.000,-0.034,0.000,0.000,-0.034
0.794,-0.000,-0.006,0.108,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.000,0.000,-0.031,0.000,0.000,-0.031
0.825,-0.009,-0.014,0.108,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.001,0.000,-0.028,0.001,0.000,-0.028
0.853,-0.008,-0.013,0.118,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.001,0.000,-0.013,0.001,0.000,-0.013
0.882,0.002,0.007,0.059,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.001,0.000,-0.009,0.001,0.000,-0.009
0.911,0.002,0.006,0.059,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.001,0.000,-0.006,0.001,0.000,-0.006
0.938,-0.017,-0.030,0.069,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.000,0.001,0.000,-0.009,0.001,0.000,-0.009
0.968,0.003,-0.011,0.108,0.000,0.000,0.000,0.000,0.000,0.000,0.002,-0.001,-0.001,0.001,0.000,-0.003,0.001,0.000,-0.003
0.996,0.003,0.047,0.078,0.000,0.000,0.000,0.000,0.000,0.000,0.002,-0.001,-0.002,0.001,0.000,0.003,0.001,0.000,0.003
1.023,0.011,-0.010,0.088,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.002,0.001,0.000,-0.018,0.001,0.000,-0.018
1.052,-0.019,-0.059,0.108,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,0.000,-0.001,0.001,0.000,-0.018,0.001,0.000,-0.015
1.079,0.002,0.030,0.049,0.000,0.000,0.000,0.000,0.000,0.000,0.001,-0.001,-0.001,0.001,0.000,-0.018,0.001,0.000,-0.015
1.107,-0.007,0.019,0.059,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,-0.001,0.001,0.000,-0.018,0.001,0.000,-0.009
1.134,0.002,-0.027,0.078,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.002,-0.001,0.001,0.000,-0.018,0.001,0.000,-0.009
1.162,-0.017,-0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.001,0.000,0.001,0.000,-0.018,0.001,0.000,-0.000
1.189,0.029,0.011,-0.029,0.000,0.000,0.000,0.000,0.000,0.000,0.001,-0.001,-0.001,0.001,0.000,-0.018,0.001,-0.000,0.000
1.216,-0.000,-0.035,-0.029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.001,0.000,-0.018,0.001,-0.000,0.003
1.246,0.029,0.014,-0.029,0.000,0.000,0.000,0.000,0.000,0.000,0.001,-0.002,-0.001,0.001,0.000,-0.018,0.001,-0.000,0.012
1.275,-0.007,-0.036,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,-0.001,-0.001,0.001,0.000,-0.018,0.001,0.000,0.009
1.301,0.011,0.012,-0.029,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,-0.001,0.001,0.000,-0.018,0.001,0.000,0.009
1.330,0.001,0.012,-0.029,0.000,0.000,0.000,0.000,0.000,0.000,0.001,-0.001,0.000,0.001,0.000,-0.018,0.001,0.000,-0.009
1.359,0.013,0.013,-0.059,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,-0.001,0.001,0.000,-0.018,0.001,0.000,-0.009
1.387,0.002,0.012,-0.039,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,-0.001,0.001,0.000,-0.018,0.001,0.000,-0.022
