time,acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,pos_x,pos_y,pos_z,rad_vel_x,rad_vel_y,rad_vel_z,rad_gyro_x,rad_gyro_y,rad_gyro_z,rad_mag_x,rad_mag_y,rad_mag_z
0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000
0.282,-0.118,0.247,-0.184,0.000,0.000,0.000,0.000,0.000,0.000,-0.222,0.502,-1.016,-0.261,0.024,-1.687,-0.261,0.024,-1.687
0.364,-0.508,0.441,0.374,0.000,0.000,0.000,0.000,0.000,0.000,-0.222,0.502,-1.016,-0.294,-0.001,-1.614,-0.294,-0.001,-1.614
0.414,-0.560,0.311,0.347,0.000,0.000,0.000,0.000,0.000,0.000,-0.222,0.502,-1.016,-0.300,0.012,-1.615,-0.300,0.012,-1.615
0.458,-0.488,0.075,-0.024,0.000,0.000,0.000,0.000,0.000,0.000,-0.222,0.502,-1.016,-0.313,0.008,-1.571,-0.313,0.008,-1.571
0.499,-0.721,0.091,0.045,0.000,0.000,0.000,0.000,0.000,0.000,0.038,-0.119,0.022,-0.336,-0.034,-1.556,-0.336,-0.034,-1.556
0.541,-1.338,0.904,0.292,0.000,0.000,0.000,0.000,0.000,0.000,-0.165,-0.043,-0.122,-0.346,-0.061,-1.519,-0.346,-0.061,-1.519
0.584,-1.370,1.486,-0.039,0.000,0.000,0.000,0.000,0.000,0.000,-0.097,0.044,0.100,-0.356,-0.079,-1.469,-0.356,-0.079,-1.469
0.634,-1.541,1.115,0.317,0.000,0.000,0.000,0.000,0.000,0.000,-0.093,0.117,0.236,-0.382,-0.133,-1.402,-0.382,-0.133,-1.402
0.673,-1.584,1.492,-0.146,0.000,0.000,0.000,0.000,0.000,0.000,0.130,0.101,0.051,-0.374,-0.120,-1.427,-0.374,-0.120,-1.427
0.712,-1.524,1.248,-0.379,0.000,0.000,0.000,0.000,0.000,0.000,0.285,-0.037,-0.022,-0.393,-0.136,-1.374,-0.393,-0.136,-1.374
0.749,-1.563,1.233,-0.682,0.000,0.000,0.000,0.000,0.000,0.000,0.217,0.021,-0.009,-0.413,-0.154,-1.340,-0.413,-0.154,-1.340
0.784,-2.054,1.342,-0.290,0.000,0.000,0.000,0.000,0.000,0.000,-0.043,0.116,0.000,-0.426,-0.165,-1.320,-0.426,-0.165,-1.320
0.818,-2.273,1.497,-0.276,0.000,0.000,0.000,0.000,0.000,0.000,-0.079,0.070,-0.001,-0.430,-0.173,-1.302,-0.430,-0.173,-1.302
0.850,-2.360,1.844,-0.392,0.000,0.000,0.000,0.000,0.000,0.000,0.048,0.054,-0.004,-0.446,-0.201,-1.223,-0.446,-0.201,-1.223
0.882,-2.435,1.845,-0.365,0.000,0.000,0.000,0.000,0.000,0.000,0.045,0.050,0.029,-0.453,-0.208,-1.211,-0.453,-0.208,-1.211
0.913,-2.497,1.710,-0.294,0.000,0.000,0.000,0.000,0.000,0.000,-0.011,0.006,0.087,-0.443,-0.188,-1.239,-0.443,-0.188,-1.239
0.943,-2.418,1.339,-0.382,0.000,0.000,0.000,0.000,0.000,0.000,-0.026,0.017,0.077,-0.446,-0.199,-1.220,-0.446,-0.199,-1.220
0.971,-2.559,1.687,-0.386,0.000,0.000,0.000,0.000,0.000,0.000,-0.024,0.050,0.075,-0.459,-0.226,-1.173,-0.459,-0.226,-1.173
0.999,-2.613,1.684,-0.455,0.000,0.000,0.000,0.000,0.000,0.000,-0.035,0.023,0.066,-0.463,-0.233,-1.178,-0.463,-0.233,-1.178
1.027,-2.518,1.494,-0.560,0.000,0.000,0.000,0.000,0.000,0.000,-0.054,-0.005,0.061,-0.451,-0.213,-1.235,-0.451,-0.213,-1.235
1.055,-2.455,1.389,-0.566,0.000,0.000,0.000,0.000,0.000,0.000,-0.057,-0.002,0.077,-0.451,-0.213,-1.235,-0.452,-0.220,-1.196
