time,acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,pos_x,pos_y,pos_z,rad_vel_x,rad_vel_y,rad_vel_z,rad_gyro_x,rad_gyro_y,rad_gyro_z,rad_mag_x,rad_mag_y,rad_mag_z
0.068,-0.001,-0.010,0.245,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.099,-0.010,-0.002,-0.010,-0.002,0.099
0.251,0.026,0.012,0.216,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.000,0.092,-0.010,-0.002,-0.010,-0.002,0.092
0.305,0.014,0.002,0.216,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.127,-0.010,-0.003,-0.010,-0.003,0.127
0.347,0.012,0.003,0.226,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.000,0.042,-0.010,-0.003,-0.010,-0.003,0.042
0.395,0.001,-0.004,0.216,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.000,0.103,-0.010,-0.003,-0.010,-0.003,0.103
0.440,-0.008,-0.003,0.235,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.001,0.000,0.123,-0.010,-0.003,-0.010,-0.003,0.123
0.475,0.011,-0.004,0.206,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.001,0.000,0.089,-0.010,-0.003,-0.010,-0.003,0.089
0.515,0.011,0.005,0.196,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.001,0.000,0.075,-0.010,-0.003,-0.010,-0.003,0.075
0.549,0.001,0.006,0.186,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.076,-0.010,-0.003,-0.010,-0.003,0.076
0.585,0.009,-0.004,0.206,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,-0.001,0.000,0.066,-0.010,-0.003,-0.010,-0.003,0.066
0.620,-0.003,-0.014,0.196,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,-0.001,0.077,-0.010,-0.003,-0.010,-0.003,0.077
