time,acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,pos_x,pos_y,pos_z,rad_vel_x,rad_vel_y,rad_vel_z,rad_gyro_x,rad_gyro_y,rad_gyro_z,rad_mag_x,rad_mag_y,rad_mag_z
0.076,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000
0.269,-0.022,-0.104,0.166,0.000,0.000,0.000,0.000,0.000,0.000,0.059,-0.023,0.029,-0.008,-0.001,0.004,-0.008,-0.001,0.004
0.347,-0.030,-0.106,0.166,0.000,0.000,0.000,0.000,0.000,0.000,0.059,-0.023,0.029,-0.010,-0.002,0.002,-0.010,-0.002,0.002
0.396,-0.052,-0.165,0.185,0.000,0.000,0.000,0.000,0.000,0.000,0.059,-0.023,0.029,-0.012,-0.003,-0.007,-0.012,-0.003,-0.007
0.438,-0.043,-0.155,0.185,0.000,0.000,0.000,0.000,0.000,0.000,0.059,-0.023,0.029,-0.013,-0.003,0.006,-0.013,-0.003,0.006
0.480,-0.044,-0.172,0.155,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,0.000,-0.001,-0.012,-0.003,-0.016,-0.012,-0.003,-0.016
0.527,-0.057,-0.087,0.176,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,-0.001,-0.011,-0.003,-0.029,-0.011,-0.003,-0.029
0.571,-0.047,-0.155,0.185,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,0.001,-0.001,-0.010,-0.002,-0.016,-0.010,-0.002,-0.016
0.613,-0.018,-0.094,0.166,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,-0.001,-0.008,-0.002,-0.008,-0.008,-0.002,-0.008
0.652,-0.034,-0.097,0.205,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,0.001,-0.001,-0.008,-0.001,0.005,-0.008,-0.001,0.005
0.693,0.171,0.691,0.127,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.001,-0.001,0.076,0.019,-0.029,0.076,0.019,-0.029
0.733,0.461,1.396,0.191,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,0.000,0.000,0.145,0.042,-0.062,0.145,0.042,-0.062
0.768,0.750,1.892,0.111,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,-0.001,0.201,0.066,-0.109,0.201,0.066,-0.109
0.801,1.069,2.306,0.021,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.246,0.087,-0.137,0.246,0.087,-0.137
0.833,1.044,2.104,-0.137,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.001,-0.001,0.229,0.081,-0.096,0.229,0.081,-0.096
0.864,1.258,2.455,-0.260,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.264,0.101,-0.100,0.264,0.101,-0.100
0.893,1.522,2.911,-0.194,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.314,0.127,-0.162,0.314,0.127,-0.162
0.921,1.838,3.027,-0.279,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,0.000,-0.001,0.339,0.141,-0.191,0.339,0.141,-0.191
0.949,1.896,2.723,-0.485,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.317,0.133,-0.203,0.317,0.133,-0.203
0.979,2.124,2.789,-0.573,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,-0.001,0.337,0.145,-0.216,0.337,0.145,-0.216
1.007,2.201,3.327,-0.463,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,-0.001,0.380,0.166,-0.186,0.380,0.166,-0.186
1.037,2.290,3.479,-0.540,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.001,-0.001,0.380,0.166,-0.186,0.396,0.177,-0.196
1.067,2.283,3.137,-0.702,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.001,-0.001,0.380,0.166,-0.186,0.370,0.168,-0.167
1.095,2.540,3.110,-0.780,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.380,0.166,-0.186,0.384,0.177,-0.211
1.123,2.662,3.559,-0.660,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,-0.001,0.380,0.166,-0.186,0.422,0.196,-0.221
