time,acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,pos_x,pos_y,pos_z,rad_vel_x,rad_vel_y,rad_vel_z,rad_gyro_x,rad_gyro_y,rad_gyro_z,rad_mag_x,rad_mag_y,rad_mag_z
0.081,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000
0.283,3.006,0.412,0.341,0.000,0.000,0.000,0.000,0.000,0.000,2.491,-0.286,0.310,-0.448,-0.033,1.740,-0.448,-0.033,1.740
0.357,3.836,-0.534,-0.656,0.000,0.000,0.000,0.000,0.000,0.000,2.491,-0.286,0.310,-0.581,-0.060,1.655,-0.581,-0.060,1.655
0.458,4.932,-0.788,-1.278,0.000,0.000,0.000,0.000,0.000,0.000,-0.165,-0.062,0.117,-0.696,-0.098,1.578,-0.696,-0.098,1.578
0.508,4.289,-0.436,-1.017,0.000,0.000,0.000,0.000,0.000,0.000,-0.057,-0.031,0.115,-0.648,-0.090,1.626,-0.648,-0.090,1.626
0.553,3.825,-0.182,-1.110,0.000,0.000,0.000,0.000,0.000,0.000,-0.037,0.007,0.110,-0.569,-0.079,1.701,-0.569,-0.079,1.701
0.604,3.527,-0.017,-0.724,0.000,0.000,0.000,0.000,0.000,0.000,-0.155,0.108,0.072,-0.532,-0.072,1.723,-0.532,-0.072,1.723
0.649,3.425,-0.135,-0.266,0.000,0.000,0.000,0.000,0.000,0.000,-0.132,0.079,0.038,-0.493,-0.061,1.743,-0.493,-0.061,1.743
0.691,2.592,0.283,-0.293,0.000,0.000,0.000,0.000,0.000,0.000,-0.084,0.029,0.042,-0.429,-0.021,1.786,-0.429,-0.021,1.786
0.736,2.045,0.673,-0.186,0.000,0.000,0.000,0.000,0.000,0.000,-0.028,0.002,0.013,-0.379,0.006,1.828,-0.379,0.006,1.828
0.782,1.666,0.783,0.101,0.000,0.000,0.000,0.000,0.000,0.000,-0.092,-0.012,-0.027,-0.336,0.024,1.873,-0.336,0.024,1.873
0.823,1.286,0.900,0.227,0.000,0.000,0.000,0.000,0.000,0.000,-0.068,0.032,-0.022,-0.300,0.039,1.915,-0.300,0.039,1.915
0.863,0.978,0.883,0.221,0.000,0.000,0.000,0.000,0.000,0.000,-0.023,0.002,-0.024,-0.272,0.051,1.923,-0.272,0.051,1.923
0.901,0.690,0.835,0.100,0.000,0.000,0.000,0.000,0.000,0.000,-0.010,0.004,-0.033,-0.247,0.059,1.933,-0.247,0.059,1.933
0.937,0.486,0.753,0.065,0.000,0.000,0.000,0.000,0.000,0.000,-0.012,0.016,-0.028,-0.228,0.067,1.952,-0.228,0.067,1.952
0.969,0.320,0.851,0.065,0.000,0.000,0.000,0.000,0.000,0.000,-0.023,0.009,-0.009,-0.210,0.073,1.974,-0.210,0.073,1.974
1.004,0.290,0.852,0.178,0.000,0.000,0.000,0.000,0.000,0.000,-0.044,-0.009,-0.006,-0.206,0.067,1.977,-0.206,0.067,1.977
