time,acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,pos_x,pos_y,pos_z
0.0,0.027,-0.028,0.071,0.000,0.000,0.000,0.000,0.000,0.000
0.0,0.036,-0.010,0.040,0.000,0.000,0.000,0.000,0.000,0.000
0.1,0.017,-0.017,0.034,0.000,0.000,0.000,0.000,0.000,0.000
0.1,0.017,0.002,0.013,0.000,0.000,0.000,0.000,0.000,0.000
0.1,0.017,-0.025,0.030,0.000,0.000,0.000,0.000,0.000,0.000
0.1,0.046,-0.005,0.027,0.000,0.000,0.000,0.000,0.000,0.000
0.1,0.017,-0.031,0.007,0.000,0.000,0.000,0.000,0.000,0.000
0.2,0.046,-0.002,0.026,0.000,0.000,0.000,0.000,0.000,0.000
0.2,0.017,-0.001,0.024,0.000,0.000,0.000,0.000,0.000,0.000
0.2,0.036,-0.018,0.022,0.000,0.000,0.000,0.000,0.000,0.000
0.2,0.027,-0.008,0.020,0.000,0.000,0.000,0.000,0.000,0.000
0.2,-0.012,-0.025,0.018,0.000,0.000,0.000,0.000,0.000,0.000
0.3,0.036,0.013,-0.001,0.000,0.000,0.000,0.000,0.000,0.000
0.3,0.036,0.012,0.008,0.000,0.000,0.000,0.000,0.000,0.000
0.3,0.007,-0.008,0.008,0.000,0.000,0.000,0.000,0.000,0.000
0.3,0.027,0.004,0.008,0.000,0.000,0.000,0.000,0.000,0.000
0.3,0.036,-0.005,0.019,0.000,0.000,0.000,0.000,0.000,0.000
0.4,0.027,-0.005,-0.010,0.000,0.000,0.000,0.000,0.000,0.000
0.4,-0.000,-0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.4,0.039,0.006,-0.018,0.000,0.000,0.000,0.000,0.000,0.000
0.4,0.010,-0.023,0.002,0.000,0.000,0.000,0.000,0.000,0.000
0.4,0.029,-0.004,-0.017,0.000,0.000,0.000,0.000,0.000,0.000
0.5,-0.000,-0.022,-0.007,0.000,0.000,0.000,0.000,0.000,0.000
0.5,-0.020,0.008,-0.007,0.000,0.000,0.000,0.000,0.000,0.000
0.5,-0.010,-0.013,-0.025,0.000,0.000,0.000,0.000,0.000,0.000
0.5,0.000,-0.012,-0.041,0.000,0.000,0.000,0.000,0.000,0.000
0.5,-0.010,-0.010,-0.028,0.000,0.000,0.000,0.000,0.000,0.000
0.6,0.010,-0.001,-0.019,0.000,0.000,0.000,0.000,0.000,0.000
0.6,0.010,-0.001,-0.017,0.000,0.000,0.000,0.000,0.000,0.000
0.6,-0.010,-0.001,-0.017,0.000,0.000,0.000,0.000,0.000,0.000
0.6,-0.019,-0.009,-0.013,0.000,0.000,0.000,0.000,0.000,0.000
0.6,0.000,-0.009,-0.030,0.000,0.000,0.000,0.000,0.000,0.000
