time,acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,pos_x,pos_y,pos_z
0.2,-0.009,0.011,0.324,0.000,0.000,0.000,0.000,0.000,0.000
0.4,-0.011,-0.010,0.274,0.000,0.000,0.000,0.000,0.000,0.000
0.6,-0.019,-0.020,0.235,0.000,0.000,0.000,0.000,0.000,0.000
0.8,-0.009,0.000,0.196,0.000,0.000,0.000,0.000,0.000,0.000
1.0,0.000,-0.007,0.127,0.000,0.000,0.000,0.000,0.000,0.000
1.2,0.001,-0.006,-0.010,0.000,0.000,0.000,0.000,0.000,0.000
1.4,0.002,-0.003,-0.069,0.000,0.000,0.000,0.000,0.000,0.000
1.6,0.001,-0.009,-0.088,0.000,0.000,0.000,0.000,0.000,0.000
1.8,0.000,-0.006,-0.118,0.000,0.000,0.000,0.000,0.000,0.000
2.0,0.000,-0.005,-0.010,0.000,0.000,0.000,0.000,0.000,0.000
2.2,0.000,-0.003,-0.039,0.000,0.000,0.000,0.000,0.000,0.000
2.4,0.001,-0.001,-0.029,0.000,0.000,0.000,0.000,0.000,0.000
2.6,0.000,-0.009,-0.039,0.000,0.000,0.000,0.000,0.000,0.000
2.8,0.000,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.0,0.000,-0.012,0.020,0.000,0.000,0.000,0.000,0.000,0.000
3.2,0.000,-0.001,0.020,0.000,0.000,0.000,0.000,0.000,0.000
3.4,0.001,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.6,0.000,-0.001,-0.020,0.000,0.000,0.000,0.000,0.000,0.000
3.8,0.000,0.007,0.020,0.000,0.000,0.000,0.000,0.000,0.000
4.0,0.001,0.007,0.049,0.000,0.000,0.000,0.000,0.000,0.000
4.2,0.000,-0.004,0.010,0.001,0.003,0.024,0.001,0.003,0.021
4.4,0.000,-0.004,0.020,0.000,0.003,0.074,0.002,0.011,0.139
4.6,0.000,-0.005,0.020,0.001,0.003,0.133,0.003,0.018,0.396
4.8,0.000,-0.004,0.020,0.001,0.002,0.180,0.004,0.024,0.746
