time,acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,pos_x,pos_y,pos_z
0.2,0.005,-0.001,0.296,0.000,-0.000,0.089,-0.000,-0.000,0.024
0.4,0.004,0.000,0.247,-0.004,-0.000,0.613,-0.007,-0.000,0.785
0.6,0.002,0.007,0.207,-0.004,0.009,1.203,-0.014,0.011,3.051
0.8,-0.015,0.008,0.178,-0.022,0.005,1.687,-0.052,0.032,6.584
1.0,-0.006,-0.010,0.168,-0.028,-0.005,2.057,-0.103,0.026,10.738
1.2,-0.002,-0.004,-0.039,-0.039,-0.019,2.221,-0.176,0.001,15.565
1.4,-0.002,-0.011,-0.069,-0.042,-0.029,2.103,-0.264,-0.049,20.320
1.6,-0.001,-0.015,-0.137,-0.033,-0.047,1.822,-0.361,-0.145,25.422
1.8,0.007,-0.003,-0.157,-0.022,-0.052,1.494,-0.424,-0.252,29.050
2.0,0.005,-0.011,0.000,-0.015,-0.062,1.151,-0.470,-0.374,31.893
2.2,-0.013,-0.008,-0.020,-0.020,-0.063,1.123,-0.506,-0.526,34.628
2.4,0.005,0.003,-0.020,-0.014,-0.063,1.071,-0.544,-0.679,37.260
2.6,0.005,0.003,-0.039,-0.007,-0.061,0.998,-0.563,-0.815,39.530
2.8,-0.002,0.001,-0.039,-0.009,-0.060,0.897,-0.586,-0.972,41.985
3.0,0.006,-0.005,-0.000,-0.002,-0.072,0.895,-0.601,-1.133,44.124
3.2,0.004,0.004,-0.000,-0.001,-0.077,0.894,-0.604,-1.309,46.276
3.4,0.004,0.012,0.010,0.003,-0.072,0.892,-0.602,-1.488,48.413
3.6,0.004,0.004,-0.010,0.011,-0.081,0.880,-0.588,-1.659,50.360
3.8,0.002,0.004,0.010,0.015,-0.078,0.892,-0.553,-1.833,52.299
4.0,-0.007,-0.006,0.010,0.012,-0.079,0.925,-0.519,-2.003,54.304
4.2,0.003,0.005,0.030,0.013,-0.077,0.982,-0.487,-2.184,56.598
4.4,0.012,-0.008,0.039,0.012,-0.071,1.039,-0.462,-2.341,58.824
4.6,0.011,0.000,0.010,0.015,-0.067,1.097,-0.435,-2.503,61.400
4.8,0.001,0.002,0.010,0.018,-0.067,1.107,-0.404,-2.640,63.602
5.0,0.001,0.000,0.010,0.016,-0.059,1.146,-0.358,-2.784,66.311
5.2,0.001,-0.009,0.010,0.019,-0.059,1.196,-0.323,-2.914,68.895
5.4,-0.009,-0.000,-0.000,0.019,-0.056,1.214,-0.277,-3.039,71.556
5.6,0.001,0.008,-0.010,0.016,-0.054,1.199,-0.236,-3.173,74.464
5.8,0.010,-0.011,-0.030,0.014,-0.058,1.181,-0.211,-3.283,76.845
6.0,-0.010,-0.001,-0.010,0.010,-0.057,1.169,-0.183,-3.408,79.436
6.2,-0.003,-0.000,-0.010,0.018,-0.057,1.184,-0.151,-3.527,82.026
6.4,-0.014,-0.001,0.019,0.014,-0.062,1.180,-0.119,-3.655,84.608
6.6,-0.003,0.000,0.029,0.004,-0.068,1.210,-0.104,-3.799,87.236
6.8,-0.002,-0.003,0.019,-0.001,-0.064,1.241,-0.101,-3.942,89.931
7.0,0.010,-0.001,0.009,0.002,-0.070,1.268,-0.102,-4.080,92.446
7.2,0.008,0.009,-0.000,0.003,-0.076,1.262,-0.093,-4.247,95.237
7.4,0.001,-0.010,-0.010,-0.001,-0.079,1.273,-0.089,-4.411,98.021
