time,acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,pos_x,pos_y,pos_z
0.2,-0.025,0.003,0.074,0.000,0.000,0.000,0.000,0.000,0.000
0.4,-0.045,0.002,0.010,0.000,0.000,0.000,0.000,0.000,0.000
0.6,-0.010,0.002,-0.034,0.000,0.000,0.000,0.000,0.000,0.000
0.8,0.009,0.001,-0.018,0.000,0.000,0.000,0.000,0.000,0.000
1.0,-0.001,-0.008,-0.011,0.000,0.000,0.000,0.000,0.000,0.000
1.2,-0.001,0.003,-0.077,0.000,0.000,0.000,0.000,0.000,0.000
1.4,0.021,0.003,-0.047,0.000,0.000,0.000,0.000,0.000,0.000
1.6,0.010,0.004,-0.015,0.000,0.000,0.000,0.000,0.000,0.000
1.8,0.010,0.006,-0.021,0.000,0.000,0.000,0.000,0.000,0.000
2.0,0.019,-0.013,-0.034,0.000,0.000,0.000,0.000,0.000,0.000
2.2,-0.010,-0.011,0.003,0.000,0.000,0.000,0.000,0.000,0.000
2.4,-0.010,0.001,0.023,0.000,0.000,0.000,0.000,0.000,0.000
2.6,-0.010,0.001,-0.002,0.000,0.000,0.000,0.000,0.000,0.000
2.8,-0.000,-0.000,0.015,0.000,0.000,0.000,0.000,0.000,0.000
3.0,0.000,-0.012,-0.044,0.000,0.000,0.000,0.000,0.000,0.000
3.2,-0.019,-0.013,-0.013,0.000,0.000,0.000,0.000,0.000,0.000
3.4,-0.019,0.007,-0.027,0.000,0.000,0.000,0.000,0.000,0.000
3.6,-0.009,0.006,-0.049,0.000,0.000,0.000,0.000,0.000,0.000
3.8,-0.009,0.006,0.026,0.000,0.000,0.000,0.000,0.000,0.000
4.0,0.020,-0.004,-0.014,0.000,0.000,0.000,0.000,0.000,0.000
4.2,0.010,-0.004,0.019,0.008,-0.001,0.021,0.006,-0.002,0.019
4.4,0.020,0.006,0.038,0.031,-0.001,0.063,0.049,-0.005,0.117
4.6,0.020,0.006,0.067,0.061,0.002,0.108,0.149,-0.004,0.306
4.8,0.009,-0.002,-0.026,0.088,0.002,0.141,0.317,0.001,0.585
5.0,0.009,-0.003,0.022,0.110,0.007,0.191,0.533,0.011,0.944
5.2,0.019,-0.004,0.000,0.136,0.008,0.225,0.803,0.028,1.408
5.4,0.010,-0.003,0.047,0.162,0.009,0.247,1.161,0.050,1.974
5.6,0.019,-0.002,-0.007,0.192,0.008,0.262,1.549,0.067,2.534
5.8,-0.000,0.005,-0.037,0.211,0.010,0.265,2.039,0.088,3.172
6.0,-0.010,0.006,-0.042,0.209,0.009,0.268,2.503,0.109,3.760
6.2,-0.010,-0.001,0.023,0.198,0.008,0.268,2.951,0.129,4.347
6.4,-0.030,0.008,0.010,0.185,0.005,0.273,3.334,0.141,4.886
6.6,-0.049,-0.008,0.019,0.169,0.007,0.296,3.723,0.152,5.511
6.8,-0.030,-0.001,-0.026,0.133,0.014,0.321,4.059,0.175,6.189
7.0,-0.040,0.006,-0.006,0.084,0.023,0.339,4.299,0.216,6.918
7.2,-0.030,0.006,0.062,0.027,0.026,0.347,4.420,0.271,7.676
7.4,-0.030,-0.005,0.022,-0.032,0.025,0.357,4.415,0.327,8.450
7.6,0.010,-0.016,-0.046,-0.080,0.026,0.372,4.284,0.384,9.251
7.8,-0.000,0.004,-0.032,-0.094,0.026,0.378,4.088,0.441,10.079
8.0,-0.000,-0.007,0.040,-0.092,0.026,0.383,3.880,0.498,10.914
8.2,0.010,0.002,0.018,-0.086,0.025,0.395,3.685,0.553,11.767
8.4,0.010,0.001,0.033,-0.083,0.026,0.416,3.516,0.603,12.578
8.6,0.039,0.002,-0.007,-0.059,0.026,0.432,3.367,0.656,13.428
8.8,0.039,0.002,-0.005,0.003,0.024,0.458,3.295,0.715,14.488
9.0,0.030,-0.006,0.013,0.066,0.021,0.479,3.363,0.761,15.429
9.2,0.020,0.003,0.024,0.132,0.017,0.483,3.581,0.801,16.488
9.4,-0.010,0.003,0.022,0.189,0.018,0.496,3.938,0.839,17.563
9.6,-0.020,0.002,-0.055,0.195,0.018,0.518,4.329,0.875,18.574
9.8,-0.010,0.003,-0.019,0.177,0.018,0.539,4.705,0.912,19.631
10.0,-0.010,-0.007,-0.055,0.145,0.014,0.554,5.061,0.946,20.835
10.2,-0.020,0.005,0.031,0.109,0.011,0.571,5.315,0.969,21.955
10.4,-0.010,-0.004,-0.045,0.072,0.006,0.582,5.514,0.989,23.228
10.6,0.000,0.005,0.052,0.044,0.005,0.583,5.640,1.000,24.512
10.8,-0.010,-0.005,-0.031,0.025,0.006,0.582,5.710,1.010,25.678
11.0,-0.010,-0.015,0.020,0.004,0.009,0.575,5.740,1.028,26.952
11.2,-0.010,0.004,0.022,-0.018,0.008,0.568,5.725,1.047,28.211
11.4,0.010,0.005,-0.004,-0.027,0.007,0.562,5.675,1.063,29.339
11.6,0.010,-0.005,0.015,-0.010,0.007,0.559,5.632,1.080,30.573
