time,acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,pos_x,pos_y,pos_z
0.2,-0.010,-0.002,-0.029,0.000,0.000,0.000,0.000,0.000,0.000
0.4,-0.009,-0.012,-0.004,0.000,0.000,0.000,0.000,0.000,0.000
0.6,0.001,-0.012,-0.002,0.000,0.000,0.000,0.000,0.000,0.000
0.8,0.001,-0.020,-0.031,0.000,0.000,0.000,0.000,0.000,0.000
1.0,-0.006,-0.020,-0.048,0.000,0.000,0.000,0.000,0.000,0.000
1.2,0.003,-0.009,-0.046,0.000,0.000,0.000,0.000,0.000,0.000
1.4,-0.004,0.010,-0.046,0.000,0.000,0.000,0.000,0.000,0.000
1.6,0.031,-0.000,-0.044,0.000,0.000,0.000,0.000,0.000,0.000
1.8,0.020,0.029,-0.055,0.000,0.000,0.000,0.000,0.000,0.000
2.0,0.008,0.020,-0.033,0.000,0.000,0.000,0.000,0.000,0.000
2.2,0.010,0.000,-0.026,0.000,0.000,0.000,0.000,0.000,0.000
2.4,-0.007,0.020,-0.014,0.000,0.000,0.000,0.000,0.000,0.000
2.6,-0.005,0.029,-0.008,0.000,0.000,0.000,0.000,0.000,0.000
2.8,-0.005,0.010,-0.004,0.000,0.000,0.000,0.000,0.000,0.000
3.0,0.013,0.020,-0.002,0.000,0.000,0.000,0.000,0.000,0.000
3.2,0.012,0.020,0.005,0.000,0.000,0.000,0.000,0.000,0.000
3.4,-0.010,-0.020,0.021,0.000,0.000,0.000,0.000,0.000,0.000
3.6,-0.008,-0.029,-0.002,0.000,0.000,0.000,0.000,0.000,0.000
3.8,-0.007,-0.020,-0.013,0.000,0.000,0.000,0.000,0.000,0.000
4.0,-0.016,-0.010,0.005,0.000,0.000,0.000,0.000,0.000,0.000
4.2,0.002,-0.020,-0.005,0.002,-0.022,0.003,0.003,-0.024,0.005
4.4,-0.007,0.010,0.006,0.003,-0.039,-0.000,0.010,-0.095,0.008
4.6,0.014,-0.010,-0.005,-0.001,-0.045,-0.002,0.013,-0.190,0.004
4.8,-0.014,0.010,-0.006,-0.002,-0.035,0.000,0.007,-0.280,-0.000
5.0,-0.007,0.010,0.001,0.009,-0.019,0.006,0.012,-0.342,0.008
5.2,-0.008,0.010,0.002,0.017,-0.003,0.005,0.046,-0.371,0.021
5.4,0.012,0.010,0.002,0.021,0.023,0.005,0.087,-0.345,0.033
5.6,0.011,0.010,0.010,0.028,0.047,0.005,0.140,-0.268,0.042
5.8,-0.008,0.000,0.014,0.032,0.082,0.004,0.208,-0.123,0.053
6.0,0.001,0.020,0.003,0.037,0.109,0.008,0.290,0.110,0.067
6.2,0.012,0.020,0.009,0.036,0.144,0.015,0.371,0.390,0.092
6.4,0.013,0.010,-0.004,0.035,0.176,0.025,0.450,0.747,0.138
6.6,0.012,0.010,0.010,0.035,0.206,0.034,0.528,1.169,0.204
6.8,-0.010,0.010,-0.000,0.040,0.228,0.038,0.612,1.651,0.285
7.0,0.018,0.000,0.007,0.045,0.246,0.043,0.707,2.176,0.372
7.2,0.010,0.000,0.007,0.047,0.247,0.050,0.819,2.774,0.486
7.4,-0.006,-0.020,0.028,0.043,0.231,0.048,0.919,3.299,0.595
7.6,0.012,-0.020,0.015,0.044,0.217,0.056,1.006,3.746,0.699
7.8,0.012,0.000,0.010,0.048,0.204,0.074,1.107,4.205,0.843
8.0,-0.007,0.000,-0.004,0.052,0.199,0.094,1.217,4.649,1.031
8.2,0.012,-0.010,-0.004,0.055,0.187,0.103,1.324,5.035,1.231
8.4,-0.009,0.010,-0.003,0.060,0.171,0.104,1.451,5.428,1.460
8.6,0.009,0.029,0.007,0.066,0.162,0.103,1.589,5.791,1.687
8.8,-0.003,0.020,-0.012,0.078,0.170,0.106,1.750,6.154,1.917
9.0,0.007,0.029,-0.010,0.078,0.178,0.103,1.906,6.506,2.127
9.2,0.011,0.010,-0.010,0.075,0.185,0.103,2.075,6.905,2.352
9.4,-0.008,0.020,-0.001,0.074,0.196,0.105,2.240,7.323,2.580
9.6,-0.017,0.010,0.006,0.070,0.220,0.109,2.398,7.781,2.815
9.8,0.002,0.000,-0.001,0.068,0.237,0.107,2.549,8.288,3.053
10.0,0.011,0.010,0.001,0.073,0.247,0.104,2.703,8.821,3.285
10.2,0.013,0.010,-0.000,0.075,0.260,0.101,2.852,9.330,3.488
10.4,-0.017,0.010,-0.010,0.078,0.280,0.100,3.021,9.925,3.709
10.6,0.001,-0.010,0.009,0.081,0.298,0.097,3.180,10.506,3.906
10.8,0.019,-0.010,0.001,0.090,0.296,0.093,3.368,11.163,4.115
11.0,0.002,0.000,-0.007,0.097,0.293,0.087,3.574,11.810,4.312
11.2,0.011,-0.020,0.005,0.102,0.286,0.082,3.776,12.389,4.481
11.4,0.002,-0.020,0.007,0.103,0.278,0.075,4.002,13.006,4.654
11.6,0.012,0.000,0.007,0.106,0.267,0.077,4.232,13.607,4.821
11.8,-0.017,0.010,-0.003,0.114,0.257,0.081,4.453,14.127,4.979
12.0,0.000,-0.010,0.003,0.121,0.256,0.093,4.712,14.691,5.171
12.2,-0.009,0.010,0.008,0.124,0.254,0.108,4.959,15.200,5.374
12.4,-0.016,-0.010,0.004,0.122,0.258,0.126,5.230,15.763,5.633
12.6,-0.020,0.010,0.001,0.120,0.256,0.141,5.494,16.327,5.927
12.8,-0.000,0.000,0.009,0.117,0.271,0.155,5.754,16.907,6.254
13.0,-0.010,0.000,-0.018,0.112,0.286,0.158,6.006,17.521,6.601
13.2,0.001,0.000,0.004,0.110,0.299,0.155,6.226,18.108,6.916
13.4,-0.008,0.029,0.003,0.113,0.310,0.147,6.472,18.779,7.248
13.6,-0.005,0.020,-0.003,0.111,0.348,0.136,6.718,19.500,7.559
13.8,-0.007,0.029,-0.010,0.111,0.400,0.127,6.960,20.328,7.848
14.0,-0.018,0.029,0.000,0.110,0.456,0.117,7.204,21.277,8.115
14.2,-0.008,0.010,-0.018,0.107,0.501,0.113,7.420,22.240,8.345
14.4,-0.007,-0.020,-0.000,0.106,0.530,0.110,7.654,23.389,8.591
14.6,0.000,-0.029,0.012,0.109,0.505,0.104,7.890,24.530,8.824
14.8,0.009,-0.020,0.011,0.110,0.467,0.100,8.132,25.597,9.047
15.0,-0.004,-0.039,-0.007,0.115,0.423,0.096,8.357,26.486,9.243
15.2,0.025,-0.039,0.014,0.116,0.368,0.090,8.614,27.348,9.445
15.4,-0.003,-0.029,-0.003,0.111,0.336,0.088,8.865,28.114,9.641
15.6,-0.000,0.000,0.013,0.108,0.314,0.086,9.085,28.761,9.813
15.8,-0.012,-0.029,-0.006,0.107,0.298,0.086,9.322,29.432,10.002
16.0,0.009,0.000,0.013,0.103,0.276,0.083,9.553,30.061,10.187
16.2,-0.010,0.010,0.012,0.102,0.268,0.087,9.757,30.601,10.357
16.4,-0.002,0.010,0.001,0.106,0.272,0.092,9.986,31.195,10.556
16.6,-0.019,0.010,0.003,0.109,0.277,0.092,10.201,31.744,10.739
16.8,0.010,0.000,0.010,0.109,0.282,0.097,10.441,32.362,10.946
17.0,-0.000,0.010,0.014,0.111,0.297,0.111,10.662,32.940,11.154
17.2,0.010,0.000,0.014,0.110,0.314,0.129,10.904,33.616,11.423
17.4,0.001,0.000,0.021,0.110,0.311,0.142,11.146,34.305,11.723
17.6,-0.008,0.000,0.002,0.109,0.302,0.149,11.387,34.980,12.045
