time,acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,pos_x,pos_y,pos_z
0.2,-0.008,0.001,0.265,0.000,0.000,0.000,0.000,0.000,0.000
0.4,-0.004,0.015,0.206,0.000,0.000,0.000,0.000,0.000,0.000
0.6,-0.002,0.009,0.186,0.000,0.000,0.000,0.000,0.000,0.000
0.8,-0.001,0.001,0.147,0.000,0.000,0.000,0.000,0.000,0.000
1.0,-0.001,0.004,0.078,0.000,0.000,0.000,0.000,0.000,0.000
1.2,-0.000,-0.013,-0.010,0.000,0.000,0.000,0.000,0.000,0.000
1.4,-0.000,-0.002,-0.069,0.000,0.000,0.000,0.000,0.000,0.000
1.6,-0.000,0.002,-0.118,0.000,0.000,0.000,0.000,0.000,0.000
1.8,-0.000,0.005,-0.167,0.000,0.000,0.000,0.000,0.000,0.000
2.0,0.000,-0.002,-0.020,0.000,0.000,0.000,0.000,0.000,0.000
2.2,0.000,-0.010,-0.020,0.000,0.000,0.000,0.000,0.000,0.000
2.4,0.000,0.001,-0.029,0.000,0.000,0.000,0.000,0.000,0.000
2.6,-0.001,0.002,-0.039,0.000,0.000,0.000,0.000,0.000,0.000
2.8,-0.000,0.011,-0.029,0.000,0.000,0.000,0.000,0.000,0.000
3.0,-0.000,0.002,-0.010,0.000,0.000,0.000,0.000,0.000,0.000
3.2,-0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000
3.4,-0.001,0.001,0.010,0.000,0.000,0.000,0.000,0.000,0.000
3.6,0.008,0.012,0.010,0.000,0.000,0.000,0.000,0.000,0.000
3.8,-0.001,0.003,0.020,0.000,0.000,0.000,0.000,0.000,0.000
4.0,-0.001,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4.2,-0.001,0.001,0.029,-0.001,0.001,0.006,-0.001,0.002,0.003
4.4,-0.002,0.009,0.029,-0.001,-0.002,0.030,-0.003,0.000,0.042
4.6,-0.002,0.000,0.020,0.001,-0.005,0.066,-0.003,-0.009,0.155
4.8,-0.002,0.010,0.000,-0.002,-0.006,0.083,-0.004,-0.020,0.328
5.0,-0.001,0.008,-0.020,-0.005,-0.004,0.066,-0.012,-0.034,0.510
5.2,-0.000,0.007,0.000,-0.007,-0.000,0.039,-0.025,-0.037,0.626
5.4,-0.001,-0.003,0.000,-0.006,0.001,0.014,-0.037,-0.036,0.680
